Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,1,1,-3.122094,"[-0.49136856129304063, -0.7567145604331338]","""1000,484,1,431,0,352,1001,316,2000,171,2,127,2001,70,1002,48,3,32,3000,14,1003,2,4,1""",1000,326.09,326.09
Problem_5Sat3Gs_0_4.json,1.5,1,2,-3.122153,"[-0.4914045324885739, -0.7575797955555077]","""1,440,1000,428,0,384,1001,324,2000,166,2,147,2001,61,1002,50,3,23,3000,20,4,3,1003,2""",1000,622.11,622.11
Problem_5Sat3Gs_0_4.json,1.5,1,3,-3.381177,"[-1.0431166647410717, 2.7196754592710843]","""1,850,1000,343,0,268,1001,204,2,195,3,94,1002,34,2000,32,1003,10,2001,6,4,5,2002,4,3000,3""",1000,923.93,923.93
Problem_5Sat3Gs_0_4.json,1.5,1,4,-3.122051,"[-0.4914063801488665, -0.7565665260540074]","""1000,450,1,420,0,376,1001,351,2000,182,2,117,2001,62,1002,44,3,23,3000,17,1003,4,4,2""",1000,1225.34,1225.34
Problem_5Sat3Gs_0_4.json,1.5,1,5,-3.381203,"[-1.0429717641508052, 2.7242711400418895]","""1,881,1000,322,0,286,2,188,1001,165,3,100,2000,49,1002,29,4,11,2001,6,5,5,1003,4,3000,2""",1000,1525.38,1525.38
Problem_5Sat3Gs_0_4.json,1.5,1,6,-3.121982,"[-0.49151681748846243, -0.756706624863921]","""1000,457,1,436,0,371,1001,314,2000,185,2,114,2001,57,1002,56,3,31,3000,18,1003,9""",1000,1822.54,1822.54
Problem_5Sat3Gs_0_4.json,1.5,1,7,-3.381210,"[-1.0430159741458525, 2.7236195190160455]","""1,821,1000,381,0,304,2,173,1001,172,3,94,2000,47,1002,31,1003,9,4,7,2001,5,5,3,3000,1""",1000,2126.42,2126.42
Problem_5Sat3Gs_0_4.json,1.5,1,8,-3.381137,"[-1.0429160341573938, 2.7213010034560554]","""1,876,0,320,1000,312,2,187,1001,163,3,80,2000,56,1002,27,2001,10,4,10,1003,4,3000,1,2002,1,5,1""",1000,2424.63,2424.63
Problem_5Sat3Gs_0_4.json,1.5,1,9,-3.381200,"[-1.0430118081604487, 2.723047658507623]","""1,819,1000,362,0,293,2,203,1001,160,3,93,2000,49,1002,39,1003,10,2001,8,4,7,5,3,3000,2""",1000,2726.16,2726.16
Problem_5Sat3Gs_0_4.json,1.5,1,10,-3.122060,"[-0.4914365137436994, -0.7568831271032754]","""1000,477,1,421,0,353,1001,346,2000,181,2,121,1002,59,2001,49,3,23,3000,15,1003,2,2002,1""",1000,3027.17,3027.17
Problem_5Sat3Gs_0_4.json,1.5,2,1,-3.573548,"[-9.315674741618974, -7.302234034619023, -0.4149522027295258, 2.9602260582707784]","""1,865,0,402,1000,370,2,145,1001,128,3,64,2000,32,1002,23,4,7,1003,6,3000,3,2001,2,5,1""",1000,452.74,3479.91
