Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,1,1,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,879,0,624,2,326,2000,67,1000,57,1001,49,2001,25,3,16,1002,5""",339,64.73,64.74
Problem_5Sat3Gs_0_4.json,1.5,1,2,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,863,0,618,2,326,1000,68,2000,64,1001,48,2001,31,3,22,1002,4,3000,3,2002,1""",339,115.35,115.35
Problem_5Sat3Gs_0_4.json,1.5,1,3,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,880,0,613,2,308,2000,67,1000,67,1001,45,2001,43,3,14,1002,7,3000,4""",339,164.87,164.87
Problem_5Sat3Gs_0_4.json,1.5,1,4,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,894,0,607,2,305,2000,70,1000,59,1001,46,2001,35,3,17,1002,10,3000,3,4,1,2002,1""",339,213.35,213.35
Problem_5Sat3Gs_0_4.json,1.5,1,5,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,857,0,618,2,321,2000,78,1000,61,1001,56,2001,37,3,11,1002,5,3000,4""",339,262.79,262.79
Problem_5Sat3Gs_0_4.json,1.5,1,6,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,883,0,605,2,299,2000,90,1000,60,1001,52,2001,31,3,21,1002,5,3000,2""",339,312.00,312.00
Problem_5Sat3Gs_0_4.json,1.5,1,7,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,861,0,608,2,310,1000,76,2000,75,1001,48,2001,32,3,18,1002,14,3000,6""",339,361.65,361.65
Problem_5Sat3Gs_0_4.json,1.5,1,8,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,864,0,610,2,333,2000,83,1000,63,1001,39,2001,28,3,17,1002,7,3000,2,4,2""",339,410.46,410.46
Problem_5Sat3Gs_0_4.json,1.5,1,9,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,867,0,627,2,294,2000,80,1000,59,1001,50,2001,45,3,17,1002,3,3000,3,4,2,2002,1""",339,460.63,460.63
Problem_5Sat3Gs_0_4.json,1.5,1,10,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,880,0,588,2,332,2000,78,1000,72,1001,43,2001,36,3,13,1002,5,3000,1""",339,509.80,509.80
Problem_5Sat3Gs_0_4.json,1.5,2,1,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1253,1,527,1000,116,2,71,2000,41,1001,26,3,6,2001,3,3000,3,1002,2""",762,176.67,686.47
Problem_5Sat3Gs_0_4.json,1.5,2,2,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1240,1,523,1000,117,2,70,2000,53,1001,27,3,8,2001,4,1002,2,3000,2,4,1,2002,1""",762,332.34,842.14
Problem_5Sat3Gs_0_4.json,1.5,2,3,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1247,1,532,1000,111,2,65,2000,51,1001,31,3,6,2001,3,1002,2""",762,487.72,997.52
Problem_5Sat3Gs_0_4.json,1.5,2,4,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1272,1,483,1000,136,2,68,1001,36,2000,32,3,8,2001,5,1002,3,3000,3,4,1,2002,1""",762,641.35,1151.15
Problem_5Sat3Gs_0_4.json,1.5,2,5,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1276,1,508,1000,110,2,64,2000,50,1001,34,2001,3,3000,1,1002,1,3,1""",762,794.59,1304.39
